Nitrogenio,Fosforo,Potassio,pH_Solo,Umidade_Solo,Temperatura,Precipitacao_mm
0,0,1,4.7,83.87,33.81,10.21
0,1,1,4.93,78.06,30.91,8.76
0,0,1,5.49,91.78,24.01,10.78
1,1,0,4.95,32.72,30.52,3.88
0,1,0,4.88,87.51,25.88,4.07
1,0,1,5.2,88.99,32.1,13.08
1,0,1,5.29,85.44,32.48,5.2
0,0,1,5.7,73.13,22.13,3.28
0,1,0,4.67,89.61,28.0,13.11
1,1,0,5.05,78.61,32.25,14.95
1,0,0,4.95,84.36,27.55,9.88
0,0,0,5.89,51.72,21.06,2.72
0,1,1,4.62,77.05,24.34,11.46
1,1,1,5.32,83.6,30.3,6.26
1,1,0,5.31,38.35,18.74,3.95
1,1,0,5.85,88.22,23.29,6.8
0,1,1,5.39,90.55,29.04,12.6
1,0,0,4.82,62.51,22.52,0.29
0,0,0,6.14,81.99,19.98,5.39
1,1,0,5.0,61.47,34.05,3.48
1,1,1,5.88,91.04,20.08,10.94
1,0,1,4.53,94.08,21.84,11.64
0,1,0,5.65,94.01,25.73,8.53
1,0,1,5.84,87.03,33.58,14.43
1,0,1,5.73,42.67,18.98,0.52
0,1,1,5.49,75.62,31.72,7.2
1,1,1,5.3,49.8,30.62,1.46
0,0,1,5.14,32.35,30.78,3.98
1,1,1,5.52,79.35,27.3,7.32
0,0,1,5.33,55.48,29.18,0.55
1,1,1,5.46,84.15,32.3,13.29
0,0,0,6.71,86.4,34.27,9.74
0,0,1,5.72,82.4,22.11,0.33
1,1,0,5.34,77.23,29.64,6.03
0,0,1,4.89,82.92,30.04,14.14
0,0,0,7.18,84.4,18.61,3.5
1,1,1,5.35,31.56,21.0,1.27
0,1,1,5.95,85.74,34.18,9.35
1,1,0,4.61,33.91,34.5,0.31
1,1,0,5.77,90.34,24.71,13.89
0,1,1,4.72,79.36,23.44,11.37
1,1,1,5.82,69.24,34.87,2.98
1,1,0,4.59,50.68,30.1,2.53
0,0,1,5.66,75.85,24.76,7.51
0,0,1,5.9,91.94,26.32,12.38
0,1,0,5.98,79.41,27.9,8.54
0,0,0,6.69,72.0,22.81,0.71
0,1,1,4.91,88.61,32.37,6.67
0,0,1,4.9,78.56,28.6,6.15
0,0,0,6.7,86.3,29.75,8.73
0,1,1,4.62,61.06,22.67,2.56
0,1,0,5.07,83.26,34.21,12.91
1,1,1,4.76,94.57,30.27,13.83
1,0,1,5.4,48.39,31.76,1.49
0,1,0,5.97,94.63,23.64,13.09
0,1,0,5.57,83.57,34.25,8.38
0,0,1,4.83,79.55,34.82,11.68
0,1,0,5.88,89.93,27.06,13.52
1,1,1,5.21,87.92,25.79,14.22
1,1,0,5.76,88.71,20.16,9.6
1,0,0,5.92,85.44,28.33,10.53
1,0,1,5.06,83.32,31.2,12.3
0,0,1,5.05,83.43,19.95,9.88
1,0,1,5.33,91.76,28.94,5.77
1,1,0,4.68,58.05,18.87,3.58
1,0,0,5.17,75.09,22.22,5.78
1,1,1,5.82,81.88,23.9,11.85
0,0,0,5.91,90.46,23.99,11.71
1,0,0,4.74,89.03,28.49,7.1
0,0,0,6.66,60.11,32.17,1.29
1,1,0,5.76,77.96,25.39,12.23
1,1,1,5.69,77.96,26.04,10.4
0,1,1,5.99,78.14,32.52,8.54
0,1,0,4.89,89.49,27.77,3.77
0,0,0,6.99,75.99,21.24,9.05
0,0,0,6.07,39.93,22.79,2.73
1,0,0,5.49,82.79,18.33,4.87
1,1,1,5.85,89.81,29.25,12.63
0,0,1,4.66,65.24,30.68,4.56
1,1,0,4.93,83.98,22.59,8.17
1,0,1,5.21,83.34,29.97,14.84
0,0,0,6.59,78.6,26.08,11.33
1,0,1,4.76,88.98,19.44,8.4
0,0,0,6.55,71.51,33.34,1.27
1,1,1,5.72,79.12,28.15,8.28
1,0,1,5.5,75.11,33.6,14.23
0,1,0,4.88,92.24,21.57,13.75
0,1,0,5.64,78.15,26.45,12.42
0,1,0,4.9,82.0,21.65,14.13
1,0,1,5.52,45.43,18.93,1.72
1,0,0,5.36,80.2,28.17,8.18
1,0,1,4.69,75.81,20.02,11.66
0,0,0,7.21,89.86,28.58,6.7
0,1,0,5.92,89.8,28.79,11.51
1,1,1,4.78,87.21,20.34,14.5
0,1,1,4.53,89.11,21.99,10.74
1,1,0,5.52,56.72,27.4,2.58
1,1,0,4.51,90.55,25.69,8.78
0,1,1,4.77,92.3,25.94,9.4
1,0,0,5.92,85.52,29.45,9.07
0,1,1,5.28,83.53,29.98,11.05
0,0,0,7.11,64.54,23.07,0.76
0,1,1,6.0,92.06,30.65,14.52
1,0,1,4.61,79.37,28.56,12.41
0,1,0,4.58,80.33,29.35,12.18
1,0,0,4.74,90.09,21.24,11.22
0,1,0,4.69,43.31,30.41,0.42
1,0,0,5.83,90.14,30.46,6.3
1,0,1,5.02,85.89,18.84,0.46
0,0,0,6.06,88.27,26.05,3.92
0,1,1,5.47,59.66,23.37,4.51
0,0,1,5.02,88.46,25.91,10.09
0,0,0,6.81,36.3,33.74,3.96
0,0,0,6.17,93.27,20.72,8.81
1,1,1,5.66,75.42,18.28,12.48
0,1,1,5.57,75.81,20.62,9.35
0,1,1,4.62,75.43,30.42,9.32
0,1,1,6.0,91.69,21.88,12.93
0,0,0,6.97,62.53,21.42,2.77
1,1,1,4.68,88.53,34.69,7.03
0,0,0,7.43,94.33,21.6,12.27
1,1,0,5.56,75.94,23.99,5.63
0,0,0,5.75,94.49,23.65,12.8
1,1,0,5.72,81.93,34.87,4.52
1,0,0,5.73,84.79,24.22,9.03
0,1,0,5.38,77.4,30.12,0.86
1,0,1,5.92,79.88,18.77,12.22
1,0,0,5.61,47.02,18.28,0.84
0,1,1,4.81,66.61,20.99,4.97
0,0,0,7.13,90.43,29.74,7.28
0,1,0,5.79,82.92,22.81,1.54
1,0,1,5.57,91.88,22.42,13.72
1,1,0,5.12,84.99,22.59,13.65
1,1,0,5.81,79.36,24.91,7.01
0,0,1,4.64,82.07,31.83,9.85
0,1,1,5.56,86.05,20.3,6.65
1,0,1,4.83,87.44,34.95,8.72
1,1,1,5.28,88.95,24.87,3.47
1,1,0,5.55,77.99,23.44,14.24
1,1,0,4.51,81.47,18.97,10.31
1,1,1,5.39,91.74,20.88,8.77
1,0,0,5.18,85.77,20.34,5.19
1,0,1,5.8,82.31,24.68,0.22
1,1,0,5.09,78.82,23.02,6.13
1,0,1,4.61,77.44,25.25,12.65
1,1,0,5.85,89.55,22.18,10.88
0,0,1,5.61,71.37,27.37,2.21
1,0,1,5.0,78.56,21.82,6.68
0,0,0,5.76,91.64,29.11,12.61
1,1,1,4.6,75.07,27.88,5.48
0,1,0,5.18,94.52,24.48,14.66
1,0,1,4.82,94.52,32.99,10.62
1,1,1,5.54,45.66,30.21,4.52
1,1,1,5.92,80.74,26.92,3.79
1,1,0,5.65,91.55,24.44,9.97
0,0,1,5.41,81.3,28.44,12.04
1,0,0,4.95,40.57,31.4,1.93
1,0,1,5.21,86.76,18.76,1.89
1,1,1,4.71,58.03,20.59,1.02
1,1,0,5.7,76.24,28.35,7.7
0,0,1,5.2,78.9,33.28,13.63
1,1,0,4.71,89.13,31.64,11.89
1,0,0,5.41,92.57,18.76,11.56
1,0,1,5.82,78.31,30.46,12.92
1,0,0,4.75,76.0,33.35,8.9
1,0,1,5.26,67.99,28.66,3.03
0,1,1,4.66,89.48,28.33,14.97
0,0,1,5.72,40.3,24.39,3.72
1,1,1,5.09,75.77,25.38,6.21
0,1,1,4.67,89.61,30.18,7.31
1,1,0,5.99,43.0,28.76,1.45
1,1,1,5.04,55.97,31.0,4.16
0,0,0,6.5,81.24,23.26,12.91
0,1,0,5.74,81.5,33.91,2.87
1,1,1,5.28,83.06,27.97,12.34
0,1,0,5.77,76.92,29.28,3.52
1,0,0,5.07,91.55,33.34,6.39
1,0,1,4.66,82.87,21.35,9.24
0,0,1,5.52,91.59,28.7,14.56
0,0,1,5.9,94.01,32.17,12.0
0,1,1,5.77,77.68,33.57,8.91
0,0,0,7.39,77.24,30.4,11.92
0,1,1,5.53,77.8,22.77,10.54
1,1,1,4.75,85.66,20.85,6.41
1,1,0,4.81,92.93,34.95,11.05
0,1,0,4.98,88.55,34.57,5.94
1,1,1,4.63,64.42,27.67,0.83
0,0,1,5.2,86.54,26.37,8.36
0,0,1,6.0,87.2,18.93,5.82
1,0,0,4.91,67.22,29.99,4.28
0,0,1,5.27,76.41,26.28,7.94
1,1,1,4.72,83.14,18.34,8.87
0,1,0,5.36,48.56,25.06,4.45
0,1,1,5.58,57.49,29.29,2.47
0,0,0,5.75,87.93,31.28,13.38
0,0,0,6.44,76.87,31.57,8.05
0,0,1,4.71,85.02,19.22,6.24
0,0,1,4.95,83.89,26.99,5.87
1,1,1,5.82,93.61,33.34,6.08
0,1,1,4.55,80.42,19.46,9.35
1,1,0,4.73,93.44,18.02,8.53
1,1,1,5.19,83.31,34.65,13.7
0,0,0,5.78,51.63,24.46,1.35
1,0,1,5.69,92.67,21.24,12.67
0,1,1,5.29,94.39,31.39,11.3
0,1,0,5.28,31.31,20.05,3.35
0,1,0,4.62,91.37,23.95,11.73
1,0,1,4.86,79.21,19.15,10.77
1,0,0,5.12,92.53,21.82,10.06
1,1,0,4.53,83.38,27.68,8.39
0,1,0,5.59,87.57,19.86,14.82
0,0,1,5.39,91.0,27.03,5.73
1,0,0,5.27,30.88,24.92,4.5
1,1,0,5.54,80.13,27.82,12.69
1,0,0,5.23,41.59,25.85,0.07
0,1,0,4.86,79.55,30.31,4.71
1,1,0,5.58,78.58,23.37,2.42
0,0,1,4.86,82.91,22.3,3.38
0,0,1,5.73,81.84,28.09,10.1
0,0,0,6.28,68.24,18.38,3.4
0,1,0,5.45,80.87,29.03,2.92
0,1,1,5.17,85.97,22.74,10.86
0,0,1,5.7,83.05,33.89,13.72
0,1,0,4.53,90.75,26.89,6.38
0,1,0,5.01,77.34,27.55,12.46
0,1,1,5.73,89.19,22.62,0.49
0,0,1,5.64,94.52,33.53,11.74
0,1,1,5.21,33.81,30.11,3.18
0,1,0,5.55,82.39,19.78,5.65
1,0,1,5.81,76.36,32.16,12.0
0,0,1,4.93,83.76,33.26,7.77
0,0,1,5.71,85.4,34.93,14.82
1,1,1,5.95,87.57,28.97,14.16
0,1,1,4.59,76.27,34.39,13.47
1,1,0,5.06,76.43,27.76,4.17
0,1,0,5.54,88.88,27.62,9.54
1,1,1,5.33,82.68,31.0,8.2
0,1,1,5.24,85.59,21.4,8.47
1,1,1,5.69,75.54,34.82,10.65
1,0,1,4.79,91.65,30.58,10.09
1,0,1,5.02,59.26,18.06,3.99
0,0,1,4.73,89.66,24.65,8.5
1,1,1,4.8,92.01,31.18,12.76
0,1,1,5.19,78.05,30.97,12.79
1,1,1,5.24,75.63,28.64,2.85
1,1,0,5.89,51.53,20.07,0.62
0,0,1,4.93,93.46,20.51,14.49
1,1,0,5.02,86.0,31.76,5.8
1,1,0,5.72,88.53,25.17,11.62
0,1,0,5.27,80.33,31.33,14.32
1,1,1,4.96,90.67,30.77,6.07
1,1,0,4.53,90.14,21.63,8.46
0,0,0,6.75,77.28,30.65,12.3
0,0,1,5.05,91.41,25.6,13.16
0,0,1,5.07,83.79,34.41,12.35
1,0,0,5.48,41.59,34.14,0.46
0,1,0,5.4,83.21,34.04,10.33
0,0,1,5.54,87.85,28.85,8.41
1,0,1,4.55,82.12,25.61,14.07
0,0,0,5.82,85.5,26.83,10.54
0,0,1,5.83,33.85,19.5,1.4
0,0,1,4.91,67.52,28.09,2.39
0,0,0,6.03,81.62,20.83,2.8
1,0,1,5.27,82.57,28.09,9.87
1,1,1,5.24,94.82,34.19,6.39
0,1,0,4.8,82.18,24.59,6.56
0,1,0,5.78,87.02,33.46,13.85
0,1,0,5.95,81.51,21.18,7.42
1,1,1,5.22,69.08,20.93,2.67
1,1,0,5.38,82.21,24.33,7.46
1,1,1,4.7,79.23,20.68,12.9
0,0,0,6.46,76.94,18.62,14.36
0,0,0,6.99,75.67,18.65,13.69
0,1,1,5.4,86.89,31.94,3.47
0,1,1,5.88,90.37,34.56,5.19
0,1,1,4.61,78.31,20.76,8.23
0,1,1,5.72,89.12,24.57,14.69
1,1,0,5.79,77.18,18.39,9.94
1,0,1,4.6,60.95,32.14,4.52
1,1,0,5.47,81.11,30.59,11.21
0,0,1,5.57,85.95,27.46,13.25
0,0,1,5.93,72.45,25.58,2.92
0,1,0,5.05,81.89,21.58,3.97
1,1,0,4.88,87.33,34.98,7.53
1,1,0,5.0,83.79,27.57,6.51
1,0,1,4.6,75.97,30.15,14.7
1,1,1,5.11,87.53,26.45,7.83
0,1,0,5.46,92.85,21.3,9.04
0,0,1,5.31,38.18,22.56,0.07
0,1,0,5.55,87.08,25.77,11.33
0,1,1,5.75,61.1,21.9,0.61
1,1,0,5.97,89.61,33.38,5.79
1,1,0,5.96,75.62,27.59,7.35
0,0,1,5.33,89.36,18.02,14.81
0,0,0,5.93,81.12,26.41,10.31
0,1,0,5.96,92.26,27.63,10.5
0,1,0,4.82,40.7,19.89,3.09
0,1,1,5.25,77.48,19.84,6.29
0,0,0,7.24,93.84,29.52,6.88
0,0,0,6.54,90.26,26.52,5.05
0,1,1,5.19,90.68,28.66,14.21
1,1,0,5.24,82.88,33.95,14.55
0,1,0,5.64,78.05,30.11,8.85
1,0,1,5.06,79.82,21.58,14.52
0,1,1,4.96,85.01,29.26,7.31
0,0,1,5.19,44.83,18.75,4.81
1,1,0,4.66,92.47,25.92,10.1
0,1,1,4.54,69.95,24.83,1.42
1,0,1,5.61,43.07,33.54,2.89
1,1,0,4.74,77.64,25.52,12.57
0,0,0,6.24,83.8,34.68,13.17
0,0,0,7.11,58.07,21.34,4.29
1,1,1,5.59,92.82,22.43,13.4
0,1,0,4.77,39.52,32.48,3.18
1,0,0,5.32,91.18,24.23,6.98
1,0,0,4.76,90.3,34.65,14.26
0,0,1,5.53,40.09,32.66,1.36
0,0,0,6.55,92.7,21.11,12.17
0,1,0,5.67,57.91,25.63,4.17
1,0,1,4.79,88.59,23.74,0.87
1,0,1,5.52,82.03,23.97,6.97
0,0,1,5.43,83.88,24.59,4.31
0,1,0,4.86,80.49,26.38,0.68
1,1,1,5.74,79.04,28.38,6.2
0,1,0,5.92,51.67,32.16,2.58
0,1,0,5.03,44.05,24.52,2.85
1,0,0,5.29,75.45,20.17,12.87
1,1,0,5.46,79.97,33.14,13.43
1,0,1,5.88,74.3,34.14,4.67
0,1,0,5.58,91.57,23.01,7.53
0,0,1,4.58,87.04,24.56,6.87
1,1,0,5.82,57.65,19.04,3.06
0,0,0,5.73,78.65,23.1,14.45
0,1,1,5.51,90.51,23.59,11.31
0,1,0,4.88,83.91,23.49,10.91
0,0,1,5.22,92.78,21.93,9.74
0,0,1,5.85,88.83,23.79,10.5
1,1,1,5.21,85.28,19.38,0.66
0,1,1,5.03,76.44,19.63,10.69
1,1,0,5.09,76.17,30.96,8.33
1,1,0,5.66,80.7,26.15,10.37
1,0,0,5.64,85.33,22.37,6.64
0,1,1,5.07,91.27,24.39,14.0
0,0,1,4.82,68.93,26.32,0.68
1,0,0,5.28,93.49,31.2,8.71
1,0,0,5.13,49.7,30.32,1.56
0,0,1,5.76,82.89,29.1,6.1
0,1,0,4.76,84.81,20.21,4.61
1,0,0,5.05,85.89,21.63,5.9
1,0,1,4.68,90.88,22.14,9.17
1,0,0,5.62,94.58,20.22,12.29
0,0,0,6.82,81.81,26.92,3.09
1,1,0,4.76,33.88,34.78,3.58
0,0,0,5.85,81.85,20.14,3.64
0,0,0,5.79,53.29,29.38,3.34
0,0,0,6.7,76.53,24.58,14.51
1,0,1,5.89,87.92,32.83,11.86
0,1,0,5.49,81.25,23.51,14.42
0,1,0,4.72,93.09,33.36,10.95
1,0,0,5.27,77.96,18.53,0.69
0,0,0,5.76,84.71,31.18,11.82
1,1,1,5.63,74.32,30.61,4.0
1,1,0,5.55,89.1,30.77,9.08
0,1,0,4.86,78.8,24.19,1.48
0,0,1,5.23,76.48,30.63,4.53
1,1,1,4.53,84.77,29.63,12.05
0,1,1,4.72,41.01,27.54,1.09
1,1,1,5.04,88.41,18.61,13.86
0,1,1,4.67,76.56,31.43,8.65
0,1,1,5.72,78.69,26.62,5.87
1,1,1,5.59,87.37,26.03,4.13
1,0,1,5.4,58.63,23.82,2.6
1,0,1,4.57,78.43,27.3,4.23
1,0,0,4.96,44.66,31.54,1.46
1,0,1,5.63,83.93,18.04,13.25
1,0,0,5.35,72.74,21.18,4.92
0,0,1,5.07,86.29,25.96,10.76
1,1,1,5.68,90.95,20.71,14.53
0,0,0,6.03,75.99,19.02,9.4
0,0,1,5.25,78.26,23.23,5.5
0,0,1,4.79,70.68,21.37,0.58
1,0,1,5.09,86.94,31.87,6.79
1,1,1,4.9,88.35,18.85,1.3
0,1,0,5.15,79.99,26.56,3.26
1,1,0,5.51,92.89,34.16,10.08
1,1,0,5.04,76.19,23.34,1.19
0,1,1,5.49,75.82,18.05,1.08
1,0,1,4.73,88.28,26.23,5.3
1,0,1,5.99,91.9,31.03,9.5
1,1,1,5.27,37.02,33.08,2.7
1,0,0,5.22,81.09,34.21,5.95
0,1,1,5.24,86.36,31.68,9.84
1,1,1,5.65,87.1,26.83,12.91
0,0,0,6.84,67.38,34.16,0.97
0,1,0,5.82,91.21,22.13,11.88
1,0,1,5.36,81.96,33.45,6.82
0,0,1,5.83,80.86,32.5,14.87
1,1,0,5.85,92.43,30.46,9.3
0,1,1,5.13,64.74,18.66,2.88
0,1,0,5.03,77.69,24.45,4.24
1,1,0,5.61,91.02,23.54,9.6
0,0,0,6.51,42.0,20.04,4.78
1,1,0,4.84,69.42,20.66,3.44
0,1,0,5.65,78.27,33.83,5.15
0,1,0,5.9,80.32,29.22,8.64
0,1,1,4.92,80.58,24.74,11.5
0,1,1,4.79,93.66,26.41,13.31
0,1,1,5.69,76.79,27.56,14.18
0,0,1,5.7,85.45,20.99,15.0
0,0,1,5.91,90.7,25.39,14.56
1,0,1,5.64,76.5,27.2,14.94
1,1,0,5.99,87.0,24.11,8.87
1,0,0,5.44,85.92,21.51,7.52
1,0,1,5.79,87.83,33.42,0.81
1,0,0,5.63,46.12,33.63,1.51
0,0,0,6.23,79.37,27.63,0.5
1,1,0,5.35,33.85,28.96,2.09
1,0,1,5.21,78.75,25.07,10.85
1,0,0,5.21,77.37,31.23,10.87
0,0,0,5.94,93.62,28.39,9.43
0,0,0,7.24,89.86,21.04,11.16
1,1,0,4.58,91.99,28.32,7.05
1,0,0,5.4,82.21,25.99,2.0
0,1,0,4.77,92.46,18.86,14.52
1,0,1,5.59,62.19,19.48,4.15
1,0,0,5.57,51.37,22.86,4.06
1,1,1,4.72,62.76,21.14,3.39
1,0,0,4.86,94.76,34.85,5.97
0,0,0,7.09,64.98,22.76,3.79
0,0,0,5.92,86.26,29.44,10.49
1,0,0,5.73,35.12,28.4,0.29
1,1,1,4.74,76.72,21.35,10.92
0,1,0,5.73,87.62,30.46,10.69
0,1,1,5.3,80.9,29.95,7.09
1,0,1,5.11,89.05,23.06,6.03
1,0,0,4.51,86.23,29.34,3.35
0,1,1,5.18,87.32,19.36,9.43
0,0,1,4.73,64.46,31.39,4.1
1,0,0,4.52,75.08,29.16,10.32
1,0,0,4.71,75.1,19.01,14.7
1,0,1,5.4,81.2,29.3,11.41
0,0,0,7.38,83.11,25.51,13.37
1,1,1,5.14,68.18,34.4,0.32
0,0,0,6.73,68.69,24.45,3.79
0,0,0,6.36,82.8,29.45,5.32
1,1,0,4.5,89.5,28.69,0.4
1,0,1,5.39,85.71,33.26,6.61
1,0,0,5.14,81.53,33.79,6.35
0,0,1,4.54,92.81,23.23,5.29
1,1,0,5.75,91.88,34.29,14.98
0,0,0,6.0,79.39,31.3,7.61
1,0,1,5.27,82.92,23.28,7.59
1,0,0,4.6,77.09,28.83,13.96
0,0,0,6.92,77.84,21.84,8.96
0,0,1,4.96,36.91,29.32,3.41
0,1,0,5.05,84.39,32.06,13.98
1,1,0,4.63,51.86,34.84,4.27
1,0,1,4.54,80.35,18.79,10.02
0,1,1,5.6,88.57,33.59,6.03
0,1,1,5.82,91.55,32.69,8.01
0,1,0,4.93,30.02,24.61,1.23
0,1,0,5.34,80.35,33.09,8.92
1,1,1,5.72,75.65,28.79,13.35
1,1,0,4.6,88.54,27.83,5.69
1,0,0,5.67,77.41,33.37,13.92
0,1,1,4.88,94.33,27.85,14.27
1,0,1,5.94,55.89,19.51,1.57
1,1,0,5.39,78.65,20.1,10.27
0,0,1,5.73,81.69,24.73,6.51
1,1,0,4.87,42.99,19.7,2.05
0,1,0,5.29,41.64,25.22,4.96
1,1,0,5.04,80.81,33.49,8.35
0,1,1,4.6,92.08,28.78,10.61
0,0,0,7.39,88.27,31.43,6.57
1,1,1,4.53,79.04,31.85,13.3
1,1,1,4.94,91.54,23.96,13.64
0,0,0,7.34,89.42,32.71,9.1
0,1,1,5.47,85.72,23.01,12.43
0,0,1,5.68,90.21,22.09,11.2
0,1,0,5.69,75.91,29.94,10.69
0,1,1,4.74,78.0,21.51,8.96
1,0,0,4.78,76.3,27.64,12.47
1,1,0,5.96,37.83,21.92,1.28
1,0,1,4.79,90.81,24.68,8.19
0,1,1,5.92,76.29,23.51,4.77
1,0,1,5.62,82.01,25.59,10.45
1,0,0,5.41,51.11,21.98,1.88
0,1,1,4.77,59.42,24.78,3.68
1,1,1,4.91,90.84,28.15,10.49
1,0,0,4.61,83.58,33.68,10.94
1,0,0,5.11,90.05,19.99,8.58
0,0,1,5.5,81.75,19.89,7.77
1,1,0,4.73,89.29,28.55,12.16
1,0,0,5.26,41.4,20.44,4.33
0,1,1,5.96,78.26,27.23,8.62
1,1,0,5.74,85.69,32.51,5.47
0,1,0,5.04,63.26,24.57,4.61
0,1,0,5.73,86.27,26.75,4.21
0,0,0,7.21,94.74,21.75,10.35
0,0,0,7.24,55.04,30.65,3.97
1,1,0,5.33,83.85,26.03,10.25
1,1,0,5.58,76.51,34.77,9.5
0,1,0,5.07,75.19,21.53,13.33
0,0,1,5.26,80.41,19.72,13.66
0,1,1,4.87,60.45,29.53,1.1
0,0,0,6.16,76.73,28.69,10.5
1,0,1,4.98,90.68,19.47,7.11
1,1,1,5.74,86.14,26.87,13.55
0,1,0,5.91,62.36,21.73,4.73
0,1,1,4.54,83.0,24.2,7.1
0,1,1,4.85,34.79,22.15,0.49
0,0,1,5.14,43.56,21.58,3.06
1,1,1,5.83,88.39,31.71,3.99
1,0,0,5.87,87.45,21.0,14.02
1,0,0,4.62,82.84,25.34,0.99
1,1,0,5.57,90.19,31.67,11.93
1,0,1,4.68,89.16,22.04,9.26
1,0,1,5.12,74.17,19.38,4.28
0,1,1,5.6,91.21,26.27,12.93
0,1,1,5.93,81.41,28.17,4.93
0,1,0,6.0,79.93,23.96,14.22
0,1,0,4.99,84.99,28.84,5.86
1,1,1,4.7,31.12,22.83,1.29
0,1,1,5.55,77.66,34.39,8.94
1,1,0,4.96,83.57,20.96,6.16
0,1,1,4.82,78.56,34.87,8.69
0,1,0,4.78,87.03,30.02,12.97
0,1,1,4.64,89.92,32.43,14.9
0,0,1,5.0,84.99,24.41,0.64
0,0,1,4.74,76.49,18.7,10.96
1,1,1,4.81,79.14,30.27,0.08
1,1,0,4.51,47.73,23.5,3.31
0,1,1,5.73,82.17,21.75,11.47
0,0,0,5.78,78.15,24.76,10.95
0,1,1,4.67,83.68,26.29,14.52
1,0,0,4.55,83.49,21.8,0.6
0,1,1,5.33,85.47,33.34,14.47
0,0,1,5.87,94.47,24.68,10.13
1,1,0,5.54,79.85,27.3,7.78
1,0,0,4.9,80.78,33.33,0.97
1,0,1,5.87,94.53,31.63,8.55
1,1,1,4.56,78.31,30.42,9.61
1,1,0,5.88,47.44,28.84,3.75
