Temperatura,Precipitacao,pH,N,P,K,Umidade_Solo
24.29,3.05,5.2,0,0,0,48.28
39.04,19.86,5.25,1,0,1,69.29
18.7,4.04,6.79,1,1,1,64.13
15.62,20.13,7.82,0,0,1,100.0
38.76,14.48,7.16,1,1,1,61.97
21.2,3.37,5.03,1,0,1,52.6
23.18,3.75,7.83,0,1,1,49.39
19.8,0.35,7.18,1,1,0,48.41
30.17,17.04,6.21,1,0,1,82.66
26.89,8.4,7.02,1,1,1,61.87
28.13,0.76,6.38,1,1,1,42.08
15.56,24.44,7.3,0,1,0,100.0
23.39,9.18,7.72,1,1,0,61.69
21.72,14.77,6.76,1,0,1,82.91
24.18,21.62,6.24,0,1,1,99.25
26.4,11.9,5.81,1,1,0,73.6
22.11,12.53,5.7,1,0,1,76.68
24.03,1.12,7.05,1,1,0,46.97
34.46,19.12,7.84,0,0,1,76.83
36.04,17.73,8.0,0,1,0,67.87
38.17,18.28,7.67,1,0,1,68.43
38.64,8.35,7.36,0,0,1,48.02
24.61,9.44,6.25,0,0,0,67.27
39.48,10.63,5.96,1,1,1,53.5
26.13,16.97,6.5,0,1,0,86.06
18.7,21.41,5.87,0,0,0,100.0
35.1,13.74,6.4,0,0,1,65.5
25.14,14.78,5.81,1,1,0,83.41
29.98,23.01,7.59,0,0,1,91.15
30.67,5.45,7.58,1,0,1,47.86
28.92,14.8,6.78,1,1,0,75.16
39.41,23.13,5.51,1,0,1,83.66
31.5,4.66,6.83,1,0,1,48.84
17.67,21.47,6.28,1,1,1,100.0
21.46,16.99,7.45,1,1,1,90.83
36.8,24.61,5.91,1,1,1,94.35
18.19,3.14,5.18,1,0,0,55.08
16.74,19.89,7.19,0,1,0,100.0
34.91,14.88,6.6,0,1,0,66.49
23.69,4.05,5.36,0,0,0,53.46
36.46,7.23,5.38,1,1,1,46.23
29.37,0.07,6.95,0,0,1,38.61
36.51,24.59,7.18,1,0,0,93.17
25.88,21.74,5.44,1,0,1,92.68
24.23,18.46,5.46,1,0,0,87.94
36.38,10.33,7.42,1,1,1,55.4
20.79,0.49,6.83,0,1,1,52.83
19.84,15.1,6.14,1,0,0,89.53
18.8,13.32,7.74,1,0,0,79.77
23.55,12.38,5.87,1,0,1,77.62
20.41,19.5,5.18,1,0,0,92.32
30.02,3.94,5.5,1,1,1,45.26
39.64,20.08,7.5,0,0,0,74.94
39.63,21.18,5.34,0,1,0,72.63
27.14,14.53,5.34,1,1,1,74.88
15.41,9.68,7.19,1,1,0,77.36
24.73,22.46,7.05,0,0,0,100.0
28.42,6.35,5.85,1,0,0,58.51
38.56,15.37,5.04,0,1,0,62.58
22.59,16.51,5.21,1,0,0,85.35
33.73,3.98,7.03,0,0,1,46.01
37.13,4.9,6.07,0,0,0,40.74
29.18,7.65,6.43,0,0,1,56.19
35.86,3.62,6.64,0,0,1,42.86
15.65,5.77,6.56,0,1,0,68.6
25.74,7.96,7.35,1,0,0,62.89
39.34,24.18,6.18,1,1,0,88.03
36.58,0.94,6.06,1,0,0,30.64
29.55,18.02,6.33,1,1,0,83.6
23.61,18.42,7.4,0,0,1,92.18
28.89,23.34,5.75,1,0,1,99.26
21.56,14.33,5.15,0,0,1,81.88
34.58,1.86,6.93,1,0,0,39.73
23.52,12.82,5.03,0,0,0,75.65
29.29,4.83,6.77,0,1,1,53.54
23.09,9.78,5.13,1,1,1,64.26
39.41,21.31,5.39,0,1,0,76.8
29.73,15.0,6.04,0,0,1,74.23
22.59,6.45,7.18,1,0,0,62.64
36.52,16.64,5.84,1,0,0,72.78
35.67,24.94,6.06,0,0,1,92.98
35.6,13.31,7.32,0,1,1,62.35
38.03,17.08,5.63,1,0,0,71.75
16.07,13.56,6.73,0,0,1,86.77
32.35,4.11,7.2,1,1,1,43.81
35.77,12.68,6.41,0,0,0,63.88
21.85,24.65,5.46,0,1,0,100.0
22.06,14.59,5.23,0,1,1,79.54
29.35,0.09,5.69,1,0,0,40.53
23.19,4.12,6.94,0,0,0,59.41
36.81,7.76,7.63,0,1,1,44.41
37.25,12.7,5.27,0,0,0,54.67
34.82,7.02,5.49,0,0,1,45.53
19.67,21.14,5.22,1,1,0,96.38
15.73,3.45,6.8,0,0,0,61.55
23.04,17.74,7.82,0,1,0,83.23
19.13,4.36,5.37,1,0,0,57.71
35.99,9.44,6.67,0,1,0,56.94
19.64,24.42,6.84,1,0,1,100.0
36.79,22.33,6.43,0,0,0,88.13
25.89,13.27,6.08,1,1,1,77.61
21.72,1.75,7.74,0,0,1,44.32
23.83,4.71,7.46,1,0,1,54.59
38.54,2.03,7.21,0,0,0,33.22
32.46,13.71,5.58,1,1,0,70.16
28.76,15.8,6.4,1,1,1,80.77
23.45,24.45,5.87,0,1,0,100.0
38.47,16.05,6.99,1,1,0,69.09
18.82,21.2,5.35,1,0,0,97.06
39.77,13.1,6.49,0,0,0,59.04
19.59,13.55,7.16,1,0,1,82.45
20.7,8.16,6.59,1,1,0,70.77
17.76,20.49,5.37,0,0,0,100.0
23.94,14.21,6.63,0,1,0,80.8
36.69,22.36,7.03,0,1,1,86.75
30.06,3.71,5.57,1,0,1,49.93
33.82,6.37,7.32,0,0,0,50.28
20.63,0.39,5.46,0,1,1,47.29
21.83,12.33,6.78,0,1,0,79.46
32.01,20.89,6.42,0,1,1,84.9
16.56,23.21,5.08,1,1,1,100.0
30.77,24.07,7.73,1,1,1,90.79
18.65,22.39,6.42,1,0,1,100.0
17.83,6.05,7.46,1,0,0,69.95
20.94,5.79,7.89,1,0,1,57.26
26.0,13.25,5.69,1,1,1,73.24
16.08,11.37,7.56,0,0,0,79.03
36.88,8.91,7.18,1,0,1,51.15
17.72,10.91,7.3,1,1,0,78.95
29.37,19.36,6.57,0,1,1,89.17
16.48,10.7,7.45,0,0,1,80.38
26.95,17.19,5.29,1,0,0,76.77
39.2,7.65,5.17,1,0,1,42.46
16.83,17.38,6.66,0,1,0,95.2
35.0,2.59,6.84,1,1,0,35.56
36.57,12.59,6.82,0,1,0,62.13
34.49,9.7,7.78,0,0,1,52.02
27.86,23.15,6.47,0,0,0,99.28
15.98,2.8,5.24,1,0,1,58.21
26.88,12.14,7.79,1,1,0,66.02
23.19,3.78,7.44,0,1,0,55.92
33.5,9.09,7.92,0,1,0,52.63
34.76,16.98,7.78,0,1,0,70.52
22.06,19.45,5.51,0,0,0,95.43
22.3,24.54,6.2,1,1,1,100.0
37.9,1.49,5.76,1,1,1,29.5
33.81,19.41,7.88,1,1,0,75.22
36.77,15.56,7.35,1,1,1,68.03
37.19,7.5,5.56,1,1,0,48.77
16.35,13.26,6.3,0,0,1,88.9
21.94,14.59,7.2,0,1,1,81.42
25.95,11.93,5.64,1,1,1,74.93
23.9,16.5,6.1,0,0,0,85.98
18.51,10.15,5.33,1,0,1,72.57
35.2,15.2,5.54,0,1,0,72.27
28.51,15.37,5.61,0,1,1,75.48
29.77,18.46,6.32,0,1,1,85.58
27.71,8.86,5.73,1,1,0,62.76
30.57,8.33,5.21,1,1,1,53.32
27.37,8.22,6.16,0,0,1,62.81
26.16,19.89,6.19,1,0,1,94.21
39.58,8.66,5.58,1,0,0,48.01
15.48,0.42,6.35,1,0,0,55.35
23.53,15.46,5.47,0,0,0,76.56
36.12,5.37,5.67,0,0,1,42.5
33.78,5.8,5.12,0,1,0,40.42
15.06,13.91,6.5,1,1,1,89.95
24.12,15.78,5.69,0,0,0,86.2
17.39,16.49,6.44,1,0,1,91.56
18.82,15.38,6.99,0,0,1,90.0
23.26,14.41,7.32,0,1,0,84.69
15.3,4.17,6.79,0,0,1,68.54
22.07,16.96,7.63,0,0,0,86.17
31.05,16.84,7.61,1,0,0,73.99
29.33,3.73,7.19,0,1,0,50.43
24.07,23.18,7.18,1,0,1,100.0
39.74,9.69,7.1,1,1,1,53.48
30.82,20.54,5.62,1,0,1,88.9
32.4,3.34,6.05,1,0,1,42.85
23.3,13.63,7.93,1,0,0,76.08
37.28,23.57,5.03,1,0,1,84.47
15.73,17.06,7.44,1,1,0,96.66
20.36,17.68,7.84,1,0,0,87.79
26.22,18.82,7.23,0,1,0,87.82
37.23,2.04,7.03,1,1,0,32.12
39.99,12.53,5.96,0,0,0,59.53
36.34,18.19,6.92,0,1,1,73.34
19.23,4.47,7.41,0,0,1,63.34
35.57,0.71,5.71,1,0,0,31.94
19.09,15.39,5.56,1,1,1,87.25
21.53,0.94,7.83,0,0,0,47.91
22.77,4.46,5.21,0,0,1,50.1
25.25,18.05,7.71,0,1,0,80.96
21.47,9.66,7.46,0,1,1,72.52
15.25,11.76,5.16,1,1,0,82.5
38.19,23.58,7.73,1,0,0,79.62
21.1,14.27,7.96,1,0,0,76.66
33.17,24.67,5.94,1,1,0,97.54
19.51,0.07,7.88,0,1,0,44.58
35.12,22.04,5.87,0,1,0,89.7
18.69,4.95,7.12,1,1,0,66.08
36.47,22.48,6.5,1,1,0,86.78
33.39,0.6,7.12,0,1,0,37.85
34.04,5.93,7.59,0,1,0,44.41
23.61,13.06,5.87,1,0,0,77.2
26.31,24.32,5.84,0,0,0,100.0
23.42,8.39,7.07,0,1,1,66.31
24.95,5.64,6.71,1,1,1,56.1
16.52,6.51,7.55,1,1,0,68.01
36.65,4.23,6.2,1,0,1,39.12
20.2,21.91,6.32,0,0,1,100.0
17.41,7.92,7.48,1,0,0,74.78
34.55,13.23,6.24,0,1,0,64.92
38.51,5.44,5.94,0,0,1,43.0
19.93,7.44,7.35,0,1,0,68.95
29.49,18.59,7.04,0,0,0,82.65
30.43,22.06,6.6,1,0,1,92.61
16.59,11.24,6.42,0,0,1,81.03
18.81,6.09,7.54,0,0,0,61.4
36.25,2.19,6.76,0,0,1,35.7
25.25,13.99,5.13,1,0,0,76.16
17.97,20.84,5.88,1,1,0,100.0
27.85,16.87,6.12,0,0,1,79.77
27.55,12.5,5.25,0,0,0,66.73
17.88,15.86,6.2,0,0,0,91.26
20.46,0.15,7.69,0,1,1,46.5
18.74,16.68,7.69,1,0,0,90.53
32.09,13.87,7.3,1,1,1,69.62
32.15,10.61,7.97,0,1,0,55.63
26.26,16.47,6.48,1,0,0,80.86
19.84,4.3,6.36,1,0,1,60.64
28.31,10.76,5.86,0,1,1,69.02
16.53,18.77,7.61,1,0,0,93.3
27.4,15.74,7.05,0,0,0,81.98
34.62,1.95,7.4,0,1,1,40.28
23.53,3.2,5.34,0,1,0,50.6
34.37,14.79,6.81,1,0,1,67.09
32.18,22.73,6.04,1,1,0,92.68
36.24,3.64,7.23,0,1,1,38.74
34.88,1.97,6.56,0,1,1,39.92
34.22,17.71,5.77,0,0,0,74.72
17.25,0.81,6.77,0,0,0,55.56
18.43,16.13,6.18,0,1,1,94.63
24.91,10.88,6.76,0,1,0,74.28
32.5,13.35,6.03,0,1,1,71.29
26.26,5.6,7.8,1,1,0,51.66
33.75,16.05,5.37,1,1,1,70.22
27.27,6.94,7.94,1,0,0,51.1
32.78,6.81,7.69,1,0,1,48.67
27.01,13.97,5.69,1,0,1,79.24
37.57,1.03,6.18,0,1,1,33.95
22.4,14.44,6.65,0,0,0,85.57
34.47,2.75,7.87,0,0,1,34.8
22.88,22.5,7.92,0,1,1,94.96
26.28,11.24,6.8,0,1,0,69.14
17.24,14.28,7.1,0,1,0,87.84
32.87,18.88,7.75,1,0,1,78.04
39.3,7.94,6.79,0,0,1,47.52
18.59,4.86,5.78,1,0,1,62.61
34.27,15.7,7.53,1,1,1,66.62
39.7,4.47,6.26,0,1,1,38.36
33.93,9.65,5.47,1,1,0,50.51
16.64,11.12,5.8,0,0,0,81.91
18.27,8.13,5.73,1,1,1,73.25
32.38,15.54,7.02,1,1,0,74.21
35.81,6.98,5.16,1,0,0,42.33
34.39,24.68,7.45,0,1,0,93.7
27.75,9.56,7.99,1,1,1,62.25
23.77,13.71,7.21,0,0,1,81.97
27.54,1.37,6.49,0,1,0,47.05
39.24,4.96,7.89,0,1,1,36.38
26.15,2.61,7.41,0,0,1,48.1
37.34,15.86,5.33,1,0,0,63.96
28.95,6.68,6.31,0,1,0,56.5
17.92,10.63,7.92,0,1,0,73.67
20.33,0.74,5.22,0,0,0,43.46
27.61,7.54,5.08,0,0,0,52.82
39.03,4.11,6.04,0,1,1,37.39
19.76,3.06,7.1,1,0,1,60.55
37.23,21.35,6.59,0,0,1,80.58
38.08,19.65,6.51,1,1,1,80.17
39.88,18.48,6.65,0,1,1,71.19
25.57,8.94,5.32,1,1,0,58.61
26.24,6.63,7.61,1,1,1,52.86
25.39,17.09,6.14,0,0,0,87.41
18.32,15.86,5.3,0,1,0,89.56
35.98,16.31,6.6,1,0,1,72.05
39.18,17.88,5.08,0,0,1,64.51
32.86,19.81,7.71,0,0,1,78.13
29.7,5.92,7.04,0,0,0,52.53
16.6,1.19,7.89,1,1,0,52.78
29.03,2.95,5.06,1,0,0,41.03
26.51,22.31,7.51,0,0,1,91.14
30.03,2.0,7.31,0,1,1,43.68
26.94,5.85,7.67,0,1,1,53.08
16.95,17.57,6.51,1,1,0,98.19
16.92,13.05,6.7,1,1,1,88.9
24.89,5.18,5.23,0,0,0,52.5
21.89,5.21,6.34,0,1,1,61.52
20.49,5.3,5.75,0,1,0,59.71
18.63,20.9,5.49,1,1,0,100.0
27.62,5.6,7.33,0,1,1,54.63
29.64,3.85,6.89,0,1,0,46.1
39.19,14.42,6.22,0,1,0,60.62
24.59,5.36,7.49,0,1,1,56.08
23.6,6.3,6.04,0,0,1,60.53
19.46,4.08,7.85,1,0,0,55.25
30.95,12.86,5.98,0,1,0,70.82
26.01,1.18,5.14,0,1,0,42.67
32.74,13.54,7.94,1,0,0,65.28
21.26,16.79,6.57,0,1,0,90.98
20.37,19.56,7.28,1,1,0,98.01
18.61,2.07,6.32,0,0,0,56.08
39.87,13.29,6.22,1,1,1,60.82
39.18,3.23,7.74,1,0,0,28.92
39.23,4.45,6.9,0,0,1,37.98
16.28,4.48,5.17,0,0,1,58.36
32.84,22.85,7.81,0,0,0,86.24
17.5,12.53,7.53,0,0,0,77.25
28.43,10.79,7.16,1,0,1,64.68
26.22,24.4,5.43,0,0,0,97.54
28.9,10.33,5.72,1,0,1,64.35
35.63,4.96,6.6,0,0,0,44.82
35.21,21.15,5.02,1,1,1,81.18
21.54,14.27,5.54,1,1,0,85.02
22.77,7.16,6.3,1,0,0,62.26
19.83,20.32,7.35,1,1,0,99.52
26.54,0.01,7.18,1,0,1,39.25
32.4,0.16,5.53,0,0,1,36.06
16.48,4.49,6.8,1,0,0,66.57
15.59,2.04,7.93,0,1,1,57.94
25.88,8.53,7.18,0,0,0,63.72
26.15,23.67,7.55,0,0,1,96.48
28.15,23.03,7.89,1,1,1,94.7
35.85,0.31,6.68,0,1,1,33.85
15.18,22.02,5.04,0,1,0,100.0
27.33,6.78,6.4,0,0,0,58.17
24.57,14.97,5.93,1,1,1,80.12
33.19,10.53,7.39,0,0,0,59.0
18.96,23.99,7.44,1,0,0,100.0
31.38,15.82,5.57,0,1,0,76.18
18.79,21.08,6.38,1,1,1,100.0
17.42,20.63,7.6,1,0,0,100.0
30.07,6.26,7.33,0,1,1,52.86
33.48,7.52,6.12,1,1,1,51.31
16.27,7.47,6.96,1,1,1,71.13
33.39,10.07,6.69,0,1,1,56.89
39.12,16.47,5.97,1,0,1,66.44
22.22,9.33,6.27,1,0,0,68.95
37.47,18.47,6.77,0,0,0,72.9
30.22,5.37,7.79,0,0,1,43.65
37.95,11.76,7.69,1,0,1,54.49
30.61,4.11,7.94,1,0,0,42.07
25.1,14.71,6.17,1,0,0,79.2
15.59,3.25,5.89,0,0,0,61.49
24.44,15.12,5.01,1,0,1,75.55
28.52,14.39,5.18,1,1,1,70.03
33.18,13.8,5.33,1,0,1,66.46
31.18,23.06,6.56,0,1,1,94.69
15.37,20.99,7.82,1,0,0,100.0
29.16,7.38,7.26,0,1,0,58.48
35.89,9.09,7.89,0,1,0,47.6
36.2,15.07,6.81,0,0,1,68.92
15.5,22.59,5.76,0,1,0,100.0
37.38,21.21,5.94,0,1,0,82.91
25.35,20.93,5.96,1,1,1,94.23
35.83,22.49,6.79,0,1,0,89.32
29.78,15.53,7.78,0,0,0,72.44
23.27,6.33,7.72,1,1,0,56.26
38.39,9.04,6.78,0,1,1,47.68
39.64,21.96,7.18,0,1,1,83.58
16.9,19.43,5.48,1,1,0,95.29
23.19,8.17,5.83,0,1,0,64.93
20.63,11.05,7.13,1,1,1,78.2
15.22,2.85,5.42,1,0,1,56.9
27.62,21.25,5.45,1,1,0,91.8
21.03,4.65,7.93,0,1,0,53.24
24.71,13.09,5.59,0,0,1,76.15
32.26,4.02,7.01,0,1,0,44.9
38.9,8.99,7.79,0,0,0,42.13
17.91,1.55,6.78,0,0,1,56.84
17.45,3.05,5.38,1,1,1,58.36
21.36,13.07,7.11,0,0,1,81.84
15.5,0.25,5.45,0,0,1,52.24
21.84,9.57,6.25,0,0,0,72.18
39.48,3.68,5.21,1,0,1,33.79
16.61,22.51,5.17,0,0,1,100.0
30.0,18.75,6.7,1,0,0,85.75
20.26,5.81,6.36,1,0,0,63.27
28.12,23.11,7.55,0,1,0,95.01
18.51,4.76,7.59,1,1,0,57.99
31.77,12.05,6.31,1,0,1,66.55
15.65,7.21,6.52,0,1,0,71.75
37.73,24.36,5.2,1,0,0,82.07
19.87,24.36,7.21,0,1,1,100.0
25.49,21.3,7.07,0,1,1,99.2
28.85,18.55,6.09,0,1,0,87.47
35.78,15.07,5.48,1,0,0,62.45
22.51,3.76,7.41,1,0,0,55.81
39.9,6.63,6.15,1,1,1,43.65
23.47,22.81,6.6,0,1,1,100.0
22.11,15.18,7.88,1,1,0,80.61
25.88,7.35,5.5,0,0,1,61.99
39.65,24.35,7.09,0,0,1,87.48
17.24,23.93,6.28,1,0,1,100.0
22.06,14.35,7.07,1,1,0,84.26
18.05,6.65,5.33,1,0,1,61.92
23.54,6.17,6.01,1,1,0,59.24
24.8,22.31,7.15,1,0,0,100.0
15.77,15.29,7.66,0,1,0,90.0
25.53,20.58,5.83,0,0,0,95.97
35.13,17.74,7.2,0,1,0,75.42
29.42,21.98,6.28,0,1,0,91.5
39.69,0.0,6.49,1,0,1,27.27
27.57,1.42,6.4,0,1,1,46.34
17.65,3.63,6.87,1,0,0,64.43
35.68,4.44,5.93,1,1,0,40.52
26.29,23.25,7.55,0,1,1,93.86
19.18,10.6,6.31,0,1,0,74.6
25.34,5.33,5.38,1,0,1,51.26
18.87,19.92,6.7,0,1,1,100.0
31.05,21.93,6.74,0,1,1,91.36
24.04,13.64,6.49,0,1,0,81.61
16.98,22.28,6.86,1,0,0,100.0
18.02,20.72,5.31,1,1,1,100.0
31.24,6.92,6.12,1,0,0,52.47
35.72,7.17,7.7,0,1,1,45.06
32.26,21.28,6.59,1,1,1,86.89
24.0,8.97,6.56,0,1,0,65.65
36.92,6.04,5.57,1,0,0,47.55
35.51,21.47,6.08,1,0,1,82.97
17.21,19.96,7.2,0,1,1,100.0
37.26,10.2,6.52,0,0,1,56.45
23.98,6.76,7.15,1,0,0,63.56
33.39,23.94,6.65,1,0,0,91.56
34.4,11.29,6.1,0,0,1,58.16
33.89,18.52,6.71,0,0,0,78.47
19.41,12.97,6.5,0,0,1,80.19
26.95,7.02,7.89,1,1,1,52.43
30.18,16.37,6.18,0,1,1,78.23
28.33,23.4,6.46,1,1,0,100.0
19.6,18.82,6.64,0,0,1,98.13
15.75,23.7,7.63,0,1,1,100.0
27.34,4.72,7.35,1,0,1,53.16
26.92,8.4,6.26,0,0,0,60.82
24.33,9.14,7.07,1,0,0,69.22
20.95,22.37,7.21,1,0,1,100.0
18.74,20.13,5.54,1,0,0,100.0
16.26,19.61,5.9,0,0,0,100.0
32.89,14.78,5.4,0,1,0,64.99
20.22,3.78,5.21,1,0,1,52.13
21.43,19.51,6.81,0,0,1,98.28
15.38,18.84,7.65,1,0,1,95.64
29.56,20.8,7.93,0,0,0,87.19
24.12,8.91,7.29,0,0,1,69.25
26.3,2.37,7.97,0,0,1,41.63
32.84,4.08,6.73,1,0,0,45.76
26.53,17.39,5.47,1,1,1,83.08
16.37,10.24,7.5,1,0,0,77.72
24.26,8.56,7.53,1,0,1,63.11
15.92,19.71,6.67,0,1,0,100.0
15.1,13.56,7.83,1,1,0,86.19
27.63,4.41,6.99,1,0,0,53.15
19.94,18.45,7.48,0,1,0,93.39
29.92,0.89,5.67,0,1,0,37.79
21.32,17.27,7.08,1,1,0,90.65
20.83,18.18,6.08,1,0,1,93.6
17.99,21.87,5.25,1,1,1,100.0
22.69,8.03,6.97,0,1,1,65.94
21.42,9.54,6.94,1,1,0,73.98
21.43,19.34,5.17,0,0,1,92.99
17.81,12.23,7.67,1,1,1,79.53
34.87,4.7,6.19,0,0,1,44.4
37.58,24.87,6.31,1,0,0,90.08
34.45,8.52,6.95,1,0,0,54.81
36.62,21.73,5.06,1,0,1,79.42
29.25,20.86,5.92,1,1,1,89.06
19.98,4.03,7.47,0,0,1,60.22
31.07,10.29,7.74,0,0,1,56.4
38.18,23.72,7.51,0,1,1,80.99
39.82,6.65,6.69,1,0,1,41.27
27.67,9.05,7.49,0,1,1,64.69
18.41,6.62,7.29,1,0,0,68.43
24.14,5.76,7.83,0,0,0,57.35
35.37,1.45,5.88,0,0,0,36.66
39.22,23.39,6.96,0,1,0,86.21
23.59,19.76,5.41,0,1,0,88.21
27.8,21.29,7.07,0,1,1,95.0
33.75,3.19,5.23,1,1,1,37.06
18.39,15.18,7.94,1,0,0,82.39
15.79,15.48,6.47,0,0,1,95.49
29.07,5.56,7.08,1,1,1,51.85
34.44,7.37,5.41,0,0,1,48.71
18.49,18.75,5.11,1,0,0,90.8
34.71,16.85,6.18,0,1,1,76.01
29.86,24.3,5.31,0,1,1,93.97
26.9,22.17,5.64,0,1,0,99.62
30.9,12.9,6.0,1,0,0,70.64
20.31,4.11,7.27,0,0,0,59.36
19.92,2.48,7.36,0,0,0,55.91
21.41,5.68,5.77,1,1,1,63.45
17.85,5.6,7.83,0,1,1,61.27
31.09,8.5,5.79,1,0,0,60.93
28.17,10.88,7.51,0,0,0,64.62
28.33,19.18,5.66,0,1,1,86.48
21.86,12.04,6.56,1,0,1,75.87
36.71,7.4,6.23,1,1,0,51.38
25.13,23.38,6.45,1,0,0,100.0
17.62,8.5,7.26,1,1,0,73.59
33.4,1.83,5.33,1,1,1,31.53
30.89,12.64,6.85,1,0,1,67.25
37.29,8.69,7.49,1,1,1,49.96
20.74,6.27,5.79,1,1,0,66.75
17.53,16.35,7.01,0,1,0,96.59
16.22,8.18,5.73,1,0,0,77.46
25.43,3.17,6.18,0,0,1,52.59
30.32,1.47,7.21,1,0,0,41.04
26.16,7.84,6.81,0,0,1,63.48
30.7,8.84,7.43,1,0,0,57.25
30.81,23.32,7.47,1,1,0,94.04
19.56,9.14,6.66,0,0,0,70.85
16.52,20.94,5.99,1,0,0,100.0
29.99,18.06,7.65,1,0,1,78.02
20.83,3.98,5.11,1,1,0,54.54
20.2,8.95,7.41,1,1,1,71.78
39.8,12.79,6.56,1,1,0,58.0
15.1,4.49,6.41,1,0,1,65.21
16.22,6.21,6.05,0,1,1,72.28
29.01,20.55,6.38,1,0,1,92.55
34.41,5.85,5.26,1,1,1,43.78
16.95,7.74,6.9,0,0,0,71.44
31.97,18.21,7.9,0,1,1,78.37
16.44,1.65,7.0,1,0,1,57.22
20.16,8.42,7.81,1,0,0,64.59
24.96,10.57,6.23,0,1,0,69.04
34.86,21.06,7.91,1,1,1,80.22
17.99,12.4,5.23,0,0,0,79.86
15.4,2.39,6.21,0,1,0,63.45
16.94,19.13,7.67,0,0,0,93.69
15.68,8.73,7.53,1,1,0,70.8
30.56,11.07,7.87,1,0,0,62.82
28.43,0.15,6.79,1,0,0,39.08
25.46,8.12,5.66,0,0,0,61.28
20.42,6.72,7.86,1,0,1,58.82
15.61,22.26,6.77,0,0,1,100.0
21.3,11.98,6.64,0,0,1,76.43
22.14,15.0,5.03,0,1,1,78.02
21.13,10.03,6.55,1,1,1,75.42
34.1,8.27,5.54,1,0,0,53.93
33.15,15.33,5.73,0,1,0,73.92
34.3,1.4,7.49,1,0,1,36.26
21.74,8.56,7.87,1,1,0,65.1
16.29,16.01,5.62,1,0,1,96.45
29.1,17.06,7.76,1,0,0,76.15
29.14,24.52,6.92,1,1,1,100.0
25.86,3.12,7.18,1,1,0,51.3
20.3,11.59,7.99,1,0,1,72.54
33.91,1.26,6.11,0,0,1,33.99
